BARCODE_ID,date1,MonthlyMeanTemp,MonthlyPrecipSum,AnnualTemp,AnnualPrecip,Elevation,LUCAS_ID,SOIL_ID,Country,TH_LAT,TH_LONG,LC1_2018,LC_simpl_2018,LU1_2018,LC1_2015,LC_simpl_2015,LU1_2015,Soil_data_survey,Depth,Coarse_fragments,Clay_content,Sand_content,Silt_content,pH_CaCl2,pH_H2O,Electrical_conductivity,Organic_carbon,Carbonate_content,Phosphorus_content,Total_nitrogen_content,Extractable_potassium_content,Bulk_Density_0_10_cm,Bulk_Density_10_20_cm,Bulk_Density_20_30_cm,Ongoing_Number,Channel,Device,Basal_respiration,MIRR,Cmic,qO2,H2O_FW,glucose_per_sample,water_added,date_of_measurement,date_of_sampling,remarks,machine_factor,Xylosidase,Cellulase,N.actylglucosaminidase,beta.glucosidase,Acid.phosphatase,MWD,WSA,LC_5
11,6/4/2018,19.24399957,74.80000111,15.8,319,220,34002136,51218,ES,41.71743086,-1.070035724,B16,Cropland,U111,B16,Cropland,U111,2018,0-20,68,26,39,35,7.5,7.8,45.3,13,324,46.2,2,316,1.304240468,1.318318838,NA,9305,Channel 28,EMIL,1.469026549,21.43690593,570.2216978,0.002576238,15.71357534,0.0216,0.5,4/10/2019,n/a,n/a,1,91.46,74.62,108.34,466.04,207.44,1.523725309,57.14285714,Cropland
12,5/22/2018,16.68399963,24.40000036,16,423,159,35282092,49711,ES,41.4808965,0.515273744,B75,Cropland,U111,B75,Cropland,U111,2018,0-20,70,24,37,39,7.4,7.97,88.8,23.4,294,13.8,1.6,383,1.48111297,1.27634136,NA,8703,Channel 26,EMIL,0.865671642,6.71641791,178.6567164,0.004845447,8.173712021,21.6,1,5/15/2019,n/a,n/a,1,26.85,55.39,88.98,429.41,121.5,1.52835446,28.20512821,Cropland
13,5/30/2018,15.91666631,42.60000063,8.4,860,391,43942996,27928,DE,50.07177141,11.01964097,E20,Grassland,U111,E20,Grassland,U111,2018,0-20,82,30,11,59,5.7,6.01,13.1,57.6,1,9.9,5.4,364.2,0.898465015,1.104657633,NA,9297,Channel 20,EMIL,2.770682148,28.22309766,750.7343977,0.003690629,20.20185308,0.0216,1,4/10/2019,n/a,n/a,1,71.17,86.47,239.36,500.76,722.55,2.547713333,100,Grassland
14,6/5/2018,14.68599967,73.00000109,7.7,1943,1083,47262412,15198,HR,44.69469889,15.1043261,C33,Woodland,U120,C33,Woodland,U120,2018,0-20,3,34,10,56,6.3,6.77,25.9,97,9,7.9,5.8,137.5,0.657426143,0.710897886,NA,6948,Channel 19,KLAUS,5.854292343,37.23124517,990.3511214,0.00591133,28.76033058,0.0432,0.5,4/10/2019,n/a,n/a,1,21.04,7.6,350.76,138.05,1606.09,1.770171598,91.89189189,Woodland
15,6/1/2018,17.7109996,11.70000017,9.3,550,53,44143298,27499,DE,52.78292374,11.37836254,C10,Woodland,U111,C10,Woodland,U111,2018,0-20,1,5,83,12,5.1,5.39,24.9,212,0,27.8,17.8,109.2,0.590357466,0.516592932,NA,8476,Channel 9,EMIL,4.301193467,27.37123116,728.0747487,0.005907626,47.12720027,0.0432,0.5,4/3/2019,n/a,n/a,1,108.34,67.06,148.05,455.22,1801.96,1.503439394,63.33333333,Woodland
16,6/1/2018,15.12166633,62.20000093,6,898,731,50702998,41631,PL,49.61635981,20.40286883,E20,Grassland,U111,E20,Grassland,U111,2018,0-20,13,21,31,49,4.3,4.64,21.4,23.2,0,23.7,2.7,86.2,0.823093318,0.947486004,NA,7125,Channel 16,KLAUS,1.802150974,14.03544372,373.342803,0.004827068,18.00332779,21.6,1.25,5/15/2019,n/a,n/a,1,84.95,27.46,99.59,232.62,776.82,1.716199029,70.27027027,Grassland
17,5/3/2018,10.05766644,33.3000005,7.1,588,7,51483800,35225,LV,56.59747177,23.54500533,B11,Cropland,U111,B13,Cropland,U111,2018,0-20,13,11,64,25,5.8,6.32,9.48,21.3,0,15.4,2.2,71,1.282994031,1.379672214,NA,6874,Channel 5,KLAUS,0.934812287,4.249146758,113.0273038,0.008270677,17.1497243,0.0252,1,3/26/2019,n/a,n/a,1,39.62,64.2,94.49,403.64,299.29,1.424901869,60.52631579,Cropland
18,6/4/2018,17.49233294,97.70000146,14.3,379,494,33902114,49866,ES,41.50774582,-1.152835104,B12,Cropland,U111,B16,Cropland,U111,2018,0-20,75,28,44,28,7.4,8.38,14.52,5.4,69,8.4,0.7,260.2,1.638830984,1.708334066,NA,8683,Channel 6,EMIL,0.469097539,2.774232756,73.79459131,0.006356801,9.801019569,21.6,0.5,5/15/2019,n/a,n/a,1,9.94,8.3,17.88,74.27,59.03,1.465017595,8.571428571,Cropland
19,5/28/2018,16.13799964,24.50000037,7.2,599,164,51103486,41659,PL,53.88764749,22.06224411,E20,Grassland,U111,E20,Grassland,U111,2018,0-20,13,4,73,22,5.2,5.83,8.17,13.8,0,15.3,1.6,156.4,NA,NA,NA,7000,Channel 11,KLAUS,0.583641747,6.245990624,166.1433506,0.003512881,10.69244753,21.6,1.5,4/24/2019,n/a,n/a,1,56.52,26.53,83.12,210.68,433.1,0.87446413,56.25,Grassland
20,5/30/2018,15.99366631,37.80000056,7.6,672,130,50083478,41658,PL,53.95918685,20.50707136,C10,Woodland,U420,E10,Grassland,U111,2018,0-20,1,10,59,31,4.2,4.86,7.63,10,0,10.2,1.2,139.6,NA,NA,NA,8466,Channel 29,EMIL,0.893907732,3.869152869,102.9194663,0.008685507,11.7338252,0.0504,1,3/26/2019,n/a,n/a,1,37.82,8.53,41.29,92.4,342.96,1.387734581,66.66666667,Woodland
21,6/4/2018,16.43033297,16.30000024,8.6,739,26,42863582,18155,DK,55.34173183,9.448639891,B11,Cropland,U111,B13,Cropland,U111,2018,0-20,4,11,65,24,6.2,6.62,16.06,31.9,0,32.2,2.3,113.1,1.911798003,1.903010376,NA,9283,Channel 6,EMIL,0.800148313,7.180818193,191.0097639,0.004189044,10.94601288,0.0216,0.5,4/10/2019,n/a,n/a,1,30.22,44.44,65.12,322.45,297.22,1.263918681,86.20689655,Cropland
22,5/29/2018,16.48533296,34.00000051,7.7,563,143,49803394,41111,PL,53.24836819,19.90729572,C22,Woodland,U120,C22,Woodland,U120,2015,0-20,6,3,87,10,4.8,5.21,3.98,16.1,0,104.2,1.1,22.4,NA,NA,NA,9291,Channel 14,EMIL,0.478629579,5.677860697,151.0310945,0.00316908,2.593755163,0.0432,0.75,4/10/2019,n/a,n/a,1,93.97,29.42,116.42,236.37,432.32,0.578540373,68.18181818,Woodland
23,5/23/2018,15.63599965,10.70000016,14.7,398,691,33241858,49852,ES / GR,39.13092018,-1.509908756,B12,Cropland,U420,C32,Woodland,U420,2018,0-10,14,25,34,41,7.7,8.32,16.28,10.9,434,19.5,1.2,179.2,1.178867699,NA,NA,6940,Channel 11,KLAUS,0.321309168,7.789313156,207.19573,0.001550752,5.613685434,0.0216,0.75,4/10/2019,n/a,n/a,1,49.77,19.44,35.1,221.84,58.32,1.07545679,21.875,Cropland
24,6/4/2018,16.78299962,42.40000063,8.9,601,238,43543126,27502,DE,51.24405372,10.47258486,B11,Cropland,U111,B11,Cropland,U111,2018,0-20,4,25,2,72,7,7.38,16.1,17,2,56.2,1.8,174.1,1.265903574,1.312278466,NA,9280,Channel 3,EMIL,0.971225782,13.16196688,350.1083189,0.002774072,13.27566129,0.0216,0.5,4/10/2019,n/a,n/a,1,29.46,80.92,107.9,482.18,342.72,1.650796588,80,Cropland
25,5/31/2018,17.50733294,1.800000027,9.3,534,34,45123304,27503,DE,52.81130913,12.83330183,E20,Grassland,U111,E20,Grassland,U420,2018,0-20,44,7,56,37,5.8,6.17,21.8,241.3,1,11.7,18.8,70.1,0.564840063,0.545394786,NA,6929,Channel 30,KLAUS,3.700966635,16.90884523,449.7752832,0.008228479,46.63005492,0.0216,1,4/3/2019,n/a,n/a,1,81.89,98.18,165.6,692.33,967.72,1.257468912,63.88888889,Grassland
26,6/25/2018,19.95333289,32.00000048,12.6,526,622,53641966,29524,EL,40.03101037,22.21506136,B13,Cropland,U111,B52,Cropland,U111,2018,0-20,31,15,51,35,6.4,6.91,12.06,11.8,0,38,1.2,108.5,1.052350688,1.032883062,NA,6955,Channel 26,KLAUS,0.437532947,6.125461255,162.9372694,0.002685285,6.181998022,0.0216,0.75,4/10/2019,n/a,n/a,1,51.31,48.74,112.13,346.51,442.36,1.531106838,60.86956522,Cropland
27,6/4/2018,19.65999956,65.40000097,13.3,911,356,48462300,15156,HR,43.60417593,16.49536351,D10,Shrubland,U420,D10,Shrubland,U420,2018,0-20,0,35,14,51,6,6.53,6.17,29.2,0,2.5,2.8,191.7,0.683464678,0.861490493,NA,8559,Channel 2,EMIL,0.730304891,11.26594366,299.6741014,0.002436997,19.34312593,0.0216,0.75,4/24/2019,n/a,n/a,1,95.29,50.15,305.85,710.58,701.47,1.291913306,88.88888889,Other
28,5/30/2018,15.47633299,55.30000082,7.6,766,484,51722996,41634,PL,49.46046925,21.79460539,E20,Grassland,U111,E20,Grassland,U111,2018,0-20,5,30,8,63,5.8,6.11,32.8,30.2,0,5.8,3.6,128.6,0.793698789,0.821964876,NA,8708,Channel 1,EMIL,2.473971453,35.8900084,954.6742233,0.00259143,21.72198488,21.6,1.25,5/22/2019,n/a,n/a,1,89.38,81.1,147.35,653.57,852.97,1.939437743,97.43589744,Grassland
29,5/31/2018,11.85133307,16.20000024,2.1,600,139,51764704,21085,FI,64.44952827,27.88136509,C31,Woodland,U120,C31,Woodland,U120,2018,0-20,4,5,45,50,4.1,4.65,3.06,20.4,0,31.9,1.1,34.4,1.030556136,1.29567411,NA,9290,Channel 13,EMIL,1.328918759,6.89068986,183.2923503,0.007250269,16.46301189,0.0432,0.5,4/10/2019,n/a,n/a,1,20.88,4.7,97.13,89.92,436.16,0.740859375,27.5,Woodland
30,6/4/2018,17.36699961,8.000000119,8.4,586,10,44483636,18157,DK,55.81217144,12.02472266,B37,Cropland,U111,B37,Cropland,U111,2018,0-20,11,7,72,20,7.1,7.69,18.53,8.7,5,88.2,1.1,275.9,1.973908035,2.055422792,NA,8560,Channel 3,EMIL,0,4.27659699,113.7574799,0,5.478997177,0.0216,1,4/24/2019,n/a,n/a,1,9.34,13.88,25.77,140.75,97.93,1.103848369,41.37931034,Cropland
31,5/29/2018,14.82766634,67.50000101,8.9,1030,544,45622768,11445,AT,47.97821812,13.22754121,E30,Grassland,U120,C21,Woodland,U120,2018,0-20,86,28,12,59,4,4.41,34.8,52.3,0,13.8,4.6,182.4,0.762701037,0.82391707,NA,8471,Channel 4,EMIL,1.369034528,7.605747379,202.3128803,0.006766917,35.09848701,0.0252,0.5,4/3/2019,n/a,n/a,1,45.78,7.95,70.68,111.76,448.77,2.280620536,91.42857143,Grassland
32,5/30/2018,16.54799963,46.10000069,8.4,685,325,51443008,41633,PL,49.60651056,21.43754089,E20,Grassland,U111,E20,Grassland,U111,2018,0-20,13,32,20,48,4.8,5.42,9.93,23.7,0,10.4,2.9,226.1,1.21342766,1.235859352,NA,8720,Channel 13,EMIL,1.189066918,13.87244738,369.0071002,0.003222342,12.53091509,21.6,1.25,5/22/2019,n/a,n/a,1,104.32,75.59,171.14,470.76,769.58,2.317621818,97.36842105,Grassland
33,5/30/2018,8.829666469,98.20000146,8.5,1150,1152,31542332,49686,ES,43.08513885,-4.390487306,C10,Woodland,U420,C10,Woodland,U420,2018,0-20,25,18,40,42,3.3,4.16,15.69,61.5,0,17.5,4.4,174.3,1.009252674,0.927612757,NA,6896,Channel 27,KLAUS,3.046626984,17.07208995,454.1175926,0.006708894,28.57142857,0.0504,0.5,3/26/2019,n/a,n/a,1,98.73,29.09,148.51,355.31,1494.8,2.069612595,81.25,Woodland
34,5/22/2018,14.77399967,124.0000018,10.8,1207,338,46722576,46137,SI,46.20050025,14.54554301,B55,Cropland,U111,E20,Grassland,U111,2018,0-20,85,30,11,58,5.6,5.93,41.1,34.8,0,37.2,3.7,216.8,NA,NA,NA,8706,Channel 29,EMIL,2.160767298,17.75367283,472.2476973,0.004575496,27.06528981,21.6,0.5,5/15/2019,n/a,n/a,1,112.97,78.6,137.95,515.56,827.64,2.146050296,87.17948718,Cropland
35,6/4/2018,16.22833297,90.30000135,11.2,820,289,38842666,24250,FR,46.95514051,4.257486676,E20,Grassland,U111,E20,Grassland,U111,2015,0-20,8,21,51,29,4.5,4.77,30,28.5,1,52.7,3.3,375.9,NA,NA,NA,7169,Channel 30,KLAUS,1.338957908,13.13307374,349.3397614,0.003832824,10.59350133,21.6,1.5,5/22/2019,n/a,n/a,1,190.76,105.19,531.83,581.31,1100.9,1.510459524,100,Grassland
36,6/4/2018,16.79866629,62.20000093,14.6,569,260,44342190,58914,IT,42.80721689,11.37738158,E30,Grassland,U112,B54,Cropland,U111,2018,0-20,17,30,25,44,7.4,8.26,16.3,10.4,319,3.7,1.2,151.1,1.475571598,1.630201463,NA,8445,Channel 8,EMIL,0.622603767,4.796354948,127.5830416,0.004879988,14.3,0.0252,1,3/26/2019,n/a,n/a,1,22.26,7.36,50.42,112.4,48.29,2.295128114,62.5,Grassland
37,5/30/2018,15.93033298,36.50000054,7.6,724,122,49843504,41643,PL,54.22082556,20.20123063,E20,Grassland,U111,E30,Grassland,U112,2018,0-20,6,6,80,14,5,5.56,6.22,19.1,0,16.9,2.1,58.4,4.548700687,NA,NA,6953,Channel 24,KLAUS,1.217415522,9.092090605,241.8496101,0.005033771,10.65029861,0.0216,0.5,4/10/2019,n/a,n/a,1,97.58,78.82,186.92,463.49,522.31,0.773778032,62.06896552,Grassland
38,5/29/2018,18.08966626,65.60000098,10.3,610,222,47482810,11565,AT,48.25366633,15.75417784,B16,Cropland,U111,B16,Cropland,U111,2018,0-20,3,29,13,59,7.3,7.85,27.9,16.5,48,104.4,1.7,477.1,1.213439182,1.387893446,NA,5818,Channel 28,DIETER,1.232596993,8.833611781,234.9740734,0.005245672,10.55952183,21.6,1,8/20/2019,n/a,n/a,1,32.59,47.08,70.14,315.86,170.29,1.462667396,38.46153846,Cropland
39,5/30/2018,15.72833298,13.7000002,8.5,574,-1,49163486,41644,PL,54.14220678,19.13070011,E20,Grassland,U111,E20,Grassland,U111,2018,0-20,84,37,10,52,5.3,5.81,11.1,33.8,1,52,3.8,179.3,NA,NA,NA,7167,Channel 28,KLAUS,0.917878353,13.54153867,360.2049287,0.002548212,18.76559641,21.6,1.25,5/22/2019,n/a,n/a,1,144.01,132.19,175.58,680.45,917.96,2.383606908,94.73684211,Grassland
40,5/17/2018,16.97066629,81.60000122,13.9,682,180,41822414,58831,IT,44.82273295,8.245521829,E20,Grassland,U111,E10,Grassland,U111,2018,0-20,5,25,5,71,7.2,7.77,45.56,33.1,140,13.4,3.6,328.3,0.819158263,0.796216014,NA,7135,Channel 26,KLAUS,1.681055646,12.33906165,328.2190398,0.005121749,19.27332783,21.6,1,5/15/2019,n/a,n/a,1,45.12,69.1,156.96,436.6,194.56,1.962741935,75,Grassland
41,6/4/2018,17.74833294,86.40000129,14.3,445,409,34382156,51215,ES,41.94533825,-0.649697887,E30,Grassland,U112,B11,Cropland,U111,2018,0-20,14,30,28,43,7.6,8.19,23.5,14.1,308,7.2,1.7,270.9,1.394085353,1.477766028,NA,8692,Channel 15,EMIL,1.092528068,13.87082204,368.9638663,0.002961071,13.82819016,21.6,0.75,5/15/2019,n/a,n/a,1,102.37,44.91,85.36,426.23,116.76,2.182822835,41.93548387,Grassland
42,6/4/2018,15.98733298,90.10000134,10.4,902,419,38742668,24249,FR,46.96603743,4.124547409,E10,Grassland,U111,E10,Grassland,U111,2015,0-20,9,14,59,28,4,4.14,44.6,31.4,1,35.7,3.4,170.4,NA,NA,NA,8698,Channel 21,EMIL,2.856853614,29.29675373,779.2936492,0.003665953,18.49834983,21.6,1,5/15/2019,n/a,n/a,1,621.52,217.92,355.34,1385.49,1957.71,1.127336032,58.33333333,Grassland
43,6/4/2018,19.34799957,51.30000076,16.1,358,210,34382102,49869,ES,41.4627213,-0.565648462,F40,Bareland,U112,E20,Grassland,U410,2018,0-20,7,33,15,52,7.5,7.74,88.3,11.8,314,10.2,1.5,229.3,NA,NA,NA,9296,Channel 19,EMIL,0.293068203,5.244378368,139.5004646,0.00210084,10.65913996,0.0216,1,4/10/2019,n/a,n/a,1,23.72,15.26,37.5,135.22,34.62,1.274795567,36.84210526,Other
44,5/30/2018,15.31666632,0,11.7,854,1112,29461660,50209,ES,36.76399804,-5.383591187,E10,Grassland,U111,E10,Grassland,U111,2018,0-20,41,28,29,43,7.5,7.97,19.03,44.8,35,3.7,2.8,421.8,1.223110801,1.129328524,NA,9282,Channel 5,EMIL,3.644265233,41.15292712,1094.667861,0.003329106,26.25144556,0.0216,0.5,4/10/2019,n/a,n/a,1,96.99,105.55,283.93,773.36,585.49,1.990370968,88.23529412,Grassland
45,6/4/2018,16.20033297,96.90000144,8.9,1376,639,46942572,46118,SI,46.15207451,14.8265475,E20,Grassland,U111,E20,Grassland,U111,2018,0-20,29,44,24,33,6.8,7.12,38.8,103.7,74,8.9,7.1,201,0.698569784,0.78514445,NA,8734,Channel 27,EMIL,5.321254355,54.75493612,1456.481301,0.0036535,28.78411911,21.6,1,5/22/2019,n/a,n/a,1,62.54,74.16,232.68,668.73,1534.81,1.847690476,97.22222222,Grassland
46,6/4/2018,17.7689996,58.30000087,15.3,484,233,35642110,49712,ES,41.68211794,0.918488866,B72,Cropland,U111,B72,Cropland,U111,2018,0-20,6,21,40,39,7.3,7.5,31.6,22.5,122,103.3,2.7,127.5,1.316321353,1.549324252,NA,6931,Channel 2,KLAUS,1.031444172,11.09583883,295.1493127,0.003494652,12.09864283,0.0216,0.5,4/10/2019,n/a,n/a,1,58.64,107.44,129.73,553.66,172.78,1.573590331,69.6969697,Cropland
47,6/4/2018,17.8979996,83.10000124,14.3,488,383,34022174,51219,ES,42.05927712,-1.108354909,B11,Cropland,U111,B16,Cropland,U111,2018,0-20,80,27,41,32,7.6,8.04,31,14.3,336,13,1.9,195.4,1.25673992,1.442359959,NA,7136,Channel 27,KLAUS,1.856125074,18.8350155,501.0114124,0.003704756,16.09099967,21.6,1,5/15/2019,n/a,n/a,1,92.1,116.57,167.6,617.23,257.39,1.922750996,70.96774194,Cropland
48,6/1/2018,15.31666632,67.200001,7.5,818,476,50322994,41632,PL,49.62782325,19.87364947,E20,Grassland,U111,E20,Grassland,U111,2018,0-20,38,22,28,50,4.5,4.81,19.21,16.4,1,5,2.3,45.3,1.174418392,0.984837918,NA,8565,Channel 8,EMIL,0.930303648,7.837103458,208.466952,0.004462595,18.70444003,0.0216,1,4/24/2019,n/a,n/a,1,86.59,17.64,57.17,168.53,796.79,1.292289298,80,Grassland
49,6/28/2018,23.39133281,9.100000136,18.1,558,293,30961768,49764,ES,37.9840841,-3.929946372,B81,Cropland,U111,B81,Cropland,U111,2018,0-20,8,31,13,56,7.6,8.08,35.1,10.7,475,26.3,1.3,468.9,1.290195572,1.189245697,NA,6938,Channel 9,KLAUS,0,9.394614989,249.8967587,0,3.683515031,0.0216,1.25,4/10/2019,n/a,n/a,1,35.65,10.35,16.11,293.42,36.82,1.886050325,29.72972973,Cropland
50,6/1/2018,11.55566641,12.50000019,1.4,646,241,51824728,21084,FI,64.64380738,28.13928082,C10,Woodland,U120,C10,Woodland,U120,2018,0-20,7,3,60,36,4,4.73,3.18,15.1,0,16.4,0.8,30.7,1.04630632,0.874952651,NA,6941,Channel 12,KLAUS,0.869423876,4.796821383,127.5954488,0.00681391,8.206233422,0.0432,1,4/10/2019,n/a,n/a,1,35.61,6.05,29.7,102.26,346.54,0.631237288,8.571428571,Woodland
51,4/30/2018,10.97566642,131.100002,10.9,1089,931,28382160,42414,PT,40.96569098,-7.722229895,C10,Woodland,U120,E30,Grassland,U112,2018,0-10,29,5,73,21,4.3,4.68,6.95,31.8,0,26.5,2.3,35.8,0.883165864,0.921488334,1.077985383,7242,Channel 13,KLAUS,0.474376072,5.587095955,148.6167524,0.003191942,13.09602649,21.6,1,6/11/2019,n/a,n/a,1,63.26,29.3,93.09,305.78,449.6,1.227759615,54.54545455,Woodland
52,5/25/2018,14.943333,37.30000056,10.1,775,16,40783218,39195,NL,52.0188295,6.458655315,C10,Woodland,U361,C10,Woodland,U361,2018,0-20,2,6,78,16,3.7,4.3,8.17,52.1,0,126.6,3.9,41.6,0.950083146,1.004583673,NA,8571,Channel 14,EMIL,0.852739726,4.053145611,107.8136733,0.007909384,12.82136341,0.0216,1.75,4/24/2019,n/a,n/a,1,51.01,8.84,140.13,93.61,717.98,0.411281818,60,Woodland
53,5/16/2018,17.92833293,12.40000018,18.3,520,135,29681740,50215,ES,37.51424028,-5.300047391,B31,Cropland,U111,B13,Cropland,U111,2018,0-20,6,59,7,34,7.6,8.24,15.4,14.4,28,5.2,1.2,698.5,1.093506072,0.949124549,NA,9286,Channel 9,EMIL,0.65044339,14.54939163,387.0138173,0.001680672,19.93064729,0.0216,0.5,4/10/2019,n/a,n/a,1,36.3,26.6,43.2,464.26,221.65,1.634733438,23.33333333,Cropland
54,5/21/2018,15.33033299,21.60000032,13,904,784,29282088,49697,ES,40.51600911,-6.505275509,E20,Grassland,U111,E20,Grassland,U111,2018,0-20,38,6,49,45,4.9,5.41,9.9,17.5,1,11.1,2,41.9,1.043384925,1.36928934,NA,6933,Channel 4,KLAUS,0.492157613,8.149706707,216.7821984,0.002270286,13.35764004,0.0216,1,4/10/2019,n/a,n/a,1,96.8,44.25,300.87,424.63,611.55,1.213497567,23.33333333,Grassland
55,5/16/2018,11.28866641,16.00000024,11.1,602,866,31702250,49772,ES,42.38683021,-4.022559024,B11,Cropland,U111,B11,Cropland,U111,2018,0-20,62,29,43,28,7.2,7.87,15.01,13.7,290,14.1,1.7,452,1.040756986,1.183349758,NA,8583,Channel 26,EMIL,0,19.48356808,518.2629108,0,0.527443547,0.0216,1.25,4/24/2019,n/a,n/a,1,96.82,112.03,139.03,606.76,189.23,1.676145619,70.83333333,Cropland
