"","LUCAS_ID","CONTAINER_ID","X_LAEA","Y_LAEA","Elevation","AnnualPrecip","AnnualTemp","LC_Survey_Code","Country","LC_1","LC_2","LC_3","LC_4","CLC_2018","CLC_2012","CLC_2006","CLC_2000","CLC_1990","CLC.firstChange","CLC.lastChange","num.CLC.changes","time.since.CLC.change","MWD","WSA","Xylosidase","Cellulase","N.actylglucosaminidase","beta.glucosidase","Acid.phosphatase","O2_Measurement_ID","O2_Channel","O2_Device","Basal_respiration","MIRR","Cmic","qO2","H2O_percent_FW","glucose_per_sample_SIR","water_added_SIR","date_O2_Measurement","date_of_sampling","remarks","machine_factor","coarse_2009","clay_2009","silt_2009","sand_2009","pHinH2O_2009","pHinCaCl2_2009","OC_2009","CaCO3_2009","N_2009","P_2009","K_2009","CEC_2009","Repeated","coarse_2015","clay_2015","sand_2015","silt_2015","pHinCaCl2_2015","pHinH2O_2015","Electrical_conductivity_2015","OC_2015","CaCO3_2015","P_2015","N_2015","K_2015","CEC_2015","NUTS0","NUTS1","NUTS2","NUTS3","MonthlyPrecipSum","MonthlyMeanTemp","dates","MeanNDVI90days","MeanNDVI3years","Sum_burned_areas_1year","LC_5","clay_2009_shapefile","silt_2009_shapefile","sand_2009_shapefile","pHinH2O_2009_shapefile","pHinCaCl2_2009_shapefile","OC_2009_shapefile","clay_yearCombine","silt_yearCombine","sand_yearCombine","pHinH2O_yearCombine","pHinCaCl2_yearCombine","year_of_yearCombine","PA","nonPA.1","mahal.min.1"
"12",30902056,647,3090000,2056000,869,448,131,"E20","SPAIN","Grassland without tree/shrub cover","Grassland without tree/shrub cover","Grassland","Grassland",243,243,321,313,321,2000,2012,3,6,0.820070776255712,58.3333333333333,33.52,27.47,136.6,407.88,383.27,7382,"Channel 3","KLAUS",0.929851775,16.68964725,443.9446168,0.002094522,3.701244813,21.6,1,"7/8/19","n/a","n/a",1,17,7,18,75,6.94,6.51,"26.5","2",2.3,"31.6",338.1,11.3,"Yes",NA,NA,NA,NA,7,7.15,14.27,13.9,0,93.7,1.6,603.9,12.7,"ES","ES4","ES41","ES411",12.30000018,22.41166617,"2018-09-05",0.488,0.48104854368932,0,"Grassland",7,18,75,6.94,6.51,"26.5",7,18,75,6.94,6.51,2009,1,30742170,0.367968467558537
"13",30922224,413,3092000,2224000,757,439,125,"B13","SPAIN","Barley","Cereals","Cropland","Agriculture",211,211,211,211,211,1990,1990,0,28,1.87765863453815,41.6666666666667,28.82,58.59,127.91,549.77,255.57,7087,"Channel 8","KLAUS",0.859375,12.65625,336.65625,0.002552678,11.33366717,21.6,0.75,"5/8/19","n/a","n/a",1,5,28,37,35,7.48,7.06,"10.1","4",1.4,"77.6",663.2,13.6,"Yes",NA,NA,NA,NA,7.3,7.64,18.32,10,3,37,1.4,405.7,20,"ES","ES4","ES41","ES414",42.20000063,20.64499954,"2018-07-23",0.58,0.329423076923077,0,"Agriculture",28,37,35,7.48,7.06,"10.1",28,37,35,7.48,7.06,2009,1,30302240,0.0357427182031088
"14",31122070,301,3112000,2070000,1306,613,103,"E20","SPAIN","Grassland without tree/shrub cover","Grassland without tree/shrub cover","Grassland","Grassland",211,211,321,321,321,2012,2012,1,6,1.2891488372093,62.5,112.03,34.86,253.17,369.52,739.6,7156,"Channel 17","KLAUS",0.803617099,6.823164048,181.4961637,0.004427736,9.235615984,21.6,1,"5/22/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",22,13,53,34,4.2,5.42,5.78,25.9,0,6.8,2.7,184.8,5.5,"ES","ES4","ES41","ES416",124.6000019,12.81766638,"2018-06-19",0.649142857142857,0.478530612244898,0,"Grassland",29,14,57,6.1,5.2,"5.9",13,34,53,5.42,4.2,2015,1,30962066,0.367500297872543
"15",31162082,307,3116000,2082000,1003,526,121,"E30","SPAIN","Spontaneously re-vegetated surfaces","Spontaneously re-vegetated surfaces","Grassland","Grassland",211,211,211,211,211,1990,1990,0,28,1.74746905222437,54.5454545454546,44.31,23.06,101.19,266.87,226.33,6893,"Channel 24","KLAUS",1.458771353,4.180902322,111.2120018,0.013117032,13.16502639,0.0252,0.5,"3/26/19","n/a","n/a",1,12,29,14,57,6.1,5.2,"5.9","0",0.8,"13.8",165,25.9,"Yes",NA,NA,NA,NA,6,6.32,5.57,6.8,0,15.2,0.9,144.7,31.3,"ES","ES4","ES41","ES416",105.2000016,15.35233299,"2018-06-19",0.519428571428571,0.337607843137255,0,"Grassland",29,14,57,6.1,5.2,"5.9",29,14,57,6.1,5.2,2009,1,33362096,0.810609652846934
"16",31162316,287,3116000,2316000,1318,1019,78,"A30","SPAIN","Other Artificial Areas","Other artificial areas","Artificial Land","Artificial",242,242,242,242,242,1990,1990,0,28,1.25738345864662,40,103.85,34.7,88.08,316.79,804.59,8586,"Channel 29","EMIL",0.858464888,8.634851509,229.6870501,0.003737542,9.596456693,0.0216,1.25,"4/24/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",30,20,41,39,4.7,5.19,5.99,14.8,0,9.2,1.6,47.3,11,"ES","ES4","ES41","ES414",160.7000024,10.99166642,"2018-06-19",0.603333333333333,0.6356,0,"Other",13,54,33,5.85,5.38,"7.7",20,39,41,5.19,4.7,2015,1,29462254,1.98247635320453
"17",31222070,706,3122000,2070000,1273,650,106,"C10","SPAIN","Broadleaved woodland","Broadleaved woodland","Woodland","Forest",313,313,313,321,321,2006,2006,1,12,1.10363522727273,53.3333333333333,162.55,101.75,279.51,631.12,788.37,8798,"Channel 1","EMIL",0.542203885,15.83806086,421.2924188,0.001287001,3.628230616,21.6,1.25,"6/11/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",22,11,45,44,5.5,5.8,7.99,48.8,1,13.9,4.2,228.3,13.2,"ES","ES4","ES41","ES416",0,22.98266615,"2018-08-28",0.6115,0.547,0,"Forest",29,14,57,6.1,5.2,"5.9",11,44,45,5.8,5.5,2015,1,31141720,1.027684304128
"18",31322314,114,3132000,2314000,1163,828,87,"E10","SPAIN","Grassland with sparse tree/shrub cover","Grassland with sparse tree/shrub cover","Grassland","Grassland",311,311,311,322,322,2006,2006,1,12,1.45790625,75,125.1,104.7,366.83,883.07,1113.87,8721,"Channel 14","EMIL",0.51207474,32.77278336,871.7560374,0.000587406,5.92039801,21.6,2,"5/22/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",35,26,32,42,6.5,6.63,12.4,38.9,2,9.6,4.3,161.6,21.6,"ES","ES4","ES41","ES414",55.20000082,7.772999826,"2018-05-21",0.542666666666667,0.597333333333333,0,"Grassland",16,32,52,7.82,7.36,"7.1",26,42,32,6.63,6.5,2015,1,32082174,2.57206175821736
"19",31441666,627,3144000,1666000,1824,553,84,"C22","SPAIN","Pine dominated coniferous woodland","Coniferous woodland","Woodland","Forest",312,312,312,312,312,1990,1990,0,28,1.25734241706161,17.6470588235294,45.02,30.16,381.2,406.82,540.74,7405,"Channel 26","KLAUS",0.593361702,8.900425532,236.7513191,0.002506266,2.618929223,21.6,1,"7/8/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",48,11,46,43,5.7,6,11.31,37.4,0,16.4,2,155.4,9.2,"ES","ES6","ES61","ES614",0,18.03333293,"2018-08-06",0.689777777777778,0.687918367346939,0,"Forest",18,31,52,7.98,7.15,"9.3",11,43,46,6,5.7,2015,1,32482188,4.41187539847636
"20",31542332,33,3154000,2332000,1152,1150,85,"C10","SPAIN","Broadleaved woodland","Broadleaved woodland","Woodland","Forest",311,311,311,311,311,1990,1990,0,28,2.06961259541984,81.25,98.73,29.09,148.51,355.31,1494.8,6896,"Channel 27","KLAUS",3.046626984,17.07208995,454.1175926,0.006708894,28.57142857,0.0504,0.5,"3/26/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",25,18,40,42,4.3,4.68,37.2,28.7,1,11.3,2.7,102.4,12.4,"ES","ES1","ES13","ES130",109.9000016,7.165333173,"2018-05-30",0.7176,0.689977528089888,0,"Forest",25,32,43,5.43,4.49,"37.6",18,42,40,4.68,4.3,2015,1,28382160,1.20499567240193
"21",31721688,174,3172000,1688000,1316,603,117,"E10","SPAIN","Grassland with sparse tree/shrub cover","Grassland with sparse tree/shrub cover","Grassland","Grassland",243,243,243,211,211,2006,2006,1,12,1.92266847826087,42.8571428571428,65.38,46.2,106.73,556.05,263.57,6992,"Channel 3","KLAUS",1.392067877,23.52867666,625.8627993,0.002224238,16.6858458,21.6,1,"4/24/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",41,26,28,45,7.3,7.85,15.94,20.4,247,5.2,2.1,237.3,11.9,"ES","ES6","ES61","ES614",41.70000062,11.19599975,"2018-05-30",0.270285714285714,0.224190476190476,0,"Grassland",29,49,23,8.25,7.65,"16.4",26,45,28,7.85,7.3,2015,1,34461998,0.851089480905404
"22",31722110,688,3172000,2110000,1125,613,110,"C10","SPAIN","Broadleaved woodland","Broadleaved woodland","Woodland","Forest",321,321,213,231,231,2006,2012,2,6,1.99810840707965,94.2857142857143,177.89,233.22,391.36,1228.95,1152.13,8822,"Channel 25","EMIL",0.500088605,32.50575935,864.6531987,0.000578369,6.262458472,21.6,1.5,"6/11/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",14,17,26,57,5.3,5.73,12.45,39.5,0,14.4,3.7,146.4,14.5,"ES","ES4","ES41","ES416",0,23.08333282,"2018-08-22",0.628,0.500326530612245,0,"Forest",20,34,46,8.21,7.57,"7.6",17,57,26,5.73,5.3,2015,1,30182092,0.866417194568487
"23",31783686,832,3178000,3686000,258,1755,85,"E20","IRELAND","Grassland without tree/shrub cover","Grassland without tree/shrub cover","Grassland","Grassland",412,412,412,321,321,2006,2006,1,12,1.34097864768684,66.6666666666667,17.71,2.95,83.94,60.46,533.14,7313,"Channel 24","KLAUS",0.826022853,6.322644059,168.182332,0.004911472,10.12092099,21.6,1,"n/a","n/a","n/a",1,28,0,0,0,4.16,3.37,"515.8","2",21.8,"26.6",184.4,26.5,"Yes",NA,NA,NA,NA,3.2,4.05,29.1,524.3,0,34.4,17.3,450.5,37.3,"IE","IE0","IE04","IE041",183.4000027,10.4223331,"2018-10-03",0.71,0.4512,0,"Grassland",17.43,28.56,31.32,4.16,3.37,"515.8",17.43,28.56,31.32,4.16,3.37,2009,1,34003734,0.796435983604536
"24",32201782,624,3220000,1782000,1347,738,112,"C22","SPAIN","Pine dominated coniferous woodland","Coniferous woodland","Woodland","Forest",312,312,312,312,312,1990,1990,0,28,2.0575392670157,78.9473684210526,63.19,82.35,317.43,651.09,627.54,8846,"Channel 19","EMIL",1.957699805,28.69135802,763.1901235,0.002565153,14.91126223,21.6,1.25,"6/19/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",4,24,24,51,6.9,7.12,16.07,32.6,7,5.9,2.1,211,20.5,"ES","ES6","ES61","ES616",0,24.30933279,"2018-08-13",0.648888888888889,0.587881188118812,0,"Forest",24,38,38,7.47,7.16,"27.6",24,51,24,7.12,6.9,2015,1,33401850,2.04876196600996
"25",32281848,579,3228000,1848000,972,513,136,"B11","SPAIN","Common wheat","Cereals","Cropland","Agriculture",211,211,211,321,321,2006,2006,1,12,1.21459528688525,64.7058823529412,77.69,35.95,68.73,449.99,206.14,7305,"Channel 16","KLAUS",0.251727043,10.48862679,278.9974726,0.000902256,1.28077179,21.6,1.25,"n/a","n/a","n/a",1,47,18,19,63,8.26,7.54,"11.2","600",1.9,"13.4",504.4,15.6,"Yes",NA,NA,NA,NA,7.5,7.99,15.17,13.2,443,17.7,2.4,782.8,24.2,"ES","ES4","ES42","ES421",0,24.54266612,"2018-08-01",0.285,0.264923076923077,0,"Agriculture",18,19,63,8.26,7.54,"11.2",18,19,63,8.26,7.54,2009,1,32281852,0.18818043579775
"26",32402336,183,3240000,2336000,332,1127,132,"C10","SPAIN","Broadleaved woodland","Broadleaved woodland","Woodland","Forest",231,231,231,231,231,1990,1990,0,28,1.15502158273381,62.8571428571429,183.95,129.75,710.94,771.53,1302.27,8536,"Channel 9","EMIL",2.149893843,12.62915782,335.935598,0.00639972,22.50740375,0.0216,1,"4/16/19","n/a","n/a",1,12,13,17,69,5.93,5.44,"64.8","0",5.3,"155.6",527.4,16.1,"Yes",NA,NA,NA,NA,4.3,4.53,107.4,54.1,0,105,5.4,388.7,15.2,"ES","ES2","ES21","ES213",84.80000126,13.73866636,"2018-06-04",0.792888888888889,0.757607843137255,0,"Forest",13,17,69,5.93,5.44,"64.8",13,17,69,5.93,5.44,2009,1,28102114,1.08952865592366
"27",32522074,672,3252000,2074000,1052,603,115,"C10","SPAIN","Broadleaved woodland","Broadleaved woodland","Woodland","Forest",311,311,311,311,311,1990,1990,0,28,0.926471458773785,57.1428571428572,79.39,23.51,117.46,421.21,218.92,7389,"Channel 10","KLAUS",0.281546811,14.07734057,374.4572592,0.00075188,2.38410596,21.6,1.25,"7/8/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",13,26,33,41,7.5,7.8,10.85,20.6,191,7,2.3,352.4,22.7,"ES","ES4","ES42","ES424",0,23.65999947,"2018-08-14",0.5245,0.522834951456311,0,"Forest",24,49,27,8.14,7.42,"26.4",26,41,33,7.8,7.5,2015,1,32122142,0.946103827472908
"28",33062044,516,3306000,2044000,1174,629,108,"C23","SPAIN","Other coniferous woodland","Coniferous woodland","Woodland","Forest",323,323,323,211,211,2006,2006,1,12,1.66899240506329,75.7575757575758,36.62,31.12,103.94,280.57,110.08,5320,"Channel 10","DIETER",0.618085106,11.38061466,302.7243499,0.002041742,6.421105027,21.6,1.25,"5/6/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",27,29,22,49,7.2,7.56,16.34,62.8,349,7,2.9,239,23.3,"ES","ES4","ES42","ES424",57.20000085,20.01133289,"2018-07-26",0.4,0.335333333333333,0,"Forest",20,41,39,7.89,7.45,"32.6",29,49,22,7.56,7.2,2015,1,33581994,1.1743372572316
"29",33162080,292,3316000,2080000,1131,550,108,"C10","SPAIN","Broadleaved woodland","Broadleaved woodland","Woodland","Forest",311,311,311,313,313,2006,2006,1,12,1.15759005376344,24,64.49,14.91,31.52,306.63,215.72,7183,"Channel 14","KLAUS",0.454558911,9.214031972,245.0932504,0.001854637,3.870233352,21.6,1.25,"5/27/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",32,16,32,52,7.3,7.7,18.39,58.6,563,6.3,2.8,264.8,25.4,"ES","ES4","ES42","ES424",128.9000019,16.73966629,"2018-06-25",0.4925,0.523843137254902,0,"Forest",28,40,31,8.22,7.62,"6.7",16,52,32,7.7,7.3,2015,1,32702146,1.070400815353
"30",33241828,322,3324000,1828000,911,372,134,"E30","SPAIN","Spontaneously re-vegetated surfaces","Spontaneously re-vegetated surfaces","Grassland","Grassland",211,211,211,211,211,1990,1990,0,28,0.903387096774195,36,41.76,34.36,68.58,331.52,150.51,7161,"Channel 22","KLAUS",0.61405672,10.72162527,285.1952322,0.00215311,6.118736564,21.6,1,"5/22/19","n/a","n/a",1,8,23,25,52,8.33,7.58,"10.2","240",1.1,"26",272,12.1,"Yes",NA,NA,NA,NA,7.7,8.33,13.09,8.5,82,15.5,0.8,257.9,14.7,"ES","ES4","ES42","ES421",84.20000125,17.57133294,"2018-06-20",0.27,0.28407619047619,0,"Grassland",23,25,52,8.33,7.58,"10.2",23,25,52,8.33,7.58,2009,1,32361730,0.244067013287313
"31",33502280,442,3350000,2280000,496,1091,123,"C10","SPAIN","Broadleaved woodland","Broadleaved woodland","Woodland","Forest",311,311,311,311,311,1990,1990,0,28,2.09881632653061,97.2972972972973,60.46,16.78,683.06,254.63,2250.3,8620,"Channel 3","EMIL",4.836220472,33.42407199,889.080315,0.005439577,26.49247561,21.6,1.5,"4/30/19","n/a","n/a",1,26,49,46,6,7.19,6.94,"79.7","49",6.9,"65.5",710.3,55.4,"Yes",NA,NA,NA,NA,6.6,6.82,28.6,68.2,10,15.4,4.6,360.3,34.3,"ES","ES2","ES22","ES220",64.10000096,19.86033289,"2018-07-23",0.8075,0.699125,0,"Forest",49,46,6,7.19,6.94,"79.7",49,46,6,7.19,6.94,2009,1,37562340,0.672170015313858
"32",34161996,365,3416000,1996000,1506,504,86,"D20","SPAIN","Shrubland without tree cover","Shrubland without tree cover","Shrubland","Shrubland",323,323,323,323,323,1990,1990,0,28,1.142212,75,44.64,53.89,248.95,568.24,602.27,7132,"Channel 23","KLAUS",1.764933308,11.55229074,307.2909337,0.005743525,14.59468384,21.6,1.25,"5/15/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",27,24,36,40,7.4,7.73,14.35,30.1,56,0,3.2,351,23.6,"ES","ES2","ES24","ES242",38.80000058,14.39666634,"2018-07-03",0.446,0.39134693877551,0,"Other",22,25,53,7.72,7.2,"10",24,40,36,7.73,7.4,2015,1,34102020,0.554771294791862
